,Name,ERR209679_1_kneaddata_taxonomic_profile,ERR209680_1_kneaddata_taxonomic_profile,ERR209681_1_kneaddata_taxonomic_profile,ERR209684_1_kneaddata_taxonomic_profile,ERR209685_1_kneaddata_taxonomic_profile,ERR209690_1_kneaddata_taxonomic_profile,ERR209691_1_kneaddata_taxonomic_profile,ERR209692_1_kneaddata_taxonomic_profile,ERR209693_1_kneaddata_taxonomic_profile,ERR209695_1_kneaddata_taxonomic_profile,ERR209696_1_kneaddata_taxonomic_profile,ERR209697_1_kneaddata_taxonomic_profile,ERR209698_1_kneaddata_taxonomic_profile,ERR209699_1_kneaddata_taxonomic_profile,ERR209700_1_kneaddata_taxonomic_profile,ERR209701_1_kneaddata_taxonomic_profile,ERR209706_1_kneaddata_taxonomic_profile,ERR209707_1_kneaddata_taxonomic_profile,ERR209708_1_kneaddata_taxonomic_profile,ERR209709_1_kneaddata_taxonomic_profile,ERR209710_1_kneaddata_taxonomic_profile,ERR209711_1_kneaddata_taxonomic_profile,ERR209715_1_kneaddata_taxonomic_profile,ERR209716_1_kneaddata_taxonomic_profile,ERR209717_1_kneaddata_taxonomic_profile,ERR209729_1_kneaddata_taxonomic_profile,ERR209730_1_kneaddata_taxonomic_profile,ERR209731_1_kneaddata_taxonomic_profile,ERR209732_1_kneaddata_taxonomic_profile,ERR209739_1_kneaddata_taxonomic_profile,ERR209740_1_kneaddata_taxonomic_profile,ERR209743_1_kneaddata_taxonomic_profile,ERR209744_1_kneaddata_taxonomic_profile,ERR209745_1_kneaddata_taxonomic_profile,ERR209746_1_kneaddata_taxonomic_profile
0,Actinomyces_graevenitzii,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00306,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Adlercreutzia_equolifaciens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02003,0.09197,0.11111,0.0,0.0,0.0,0.0,0.21519,0.18144,0.0,0.0,0.08186,0.06435
2,Alistipes_finegoldii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01919,0.02454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04562,0.05776,0.0,0.0,0.75773,0.70024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02701,0.02601
3,Alistipes_indistinctus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02587,0.0287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Alistipes_onderdonkii,0.0,0.0,0.0,0.0,0.18234,0.0,0.0,1.68969,1.92601,0.00712,0.04272,0.03465,0.0,0.0,0.0,0.0,0.05982,0.06422,0.0,0.0,0.0,0.0,2.60922,1.1383,1.32268,0.0,0.0,1.49549,1.27704,0.00172,0.0,0.0,0.0,2.11171,1.70205
5,Alistipes_putredinis,0.0,0.0,0.0,0.0,5.53573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82632,2.0361,0.0,0.0,0.04921,0.06469,7.22681,14.30577,15.28088,0.03644,0.04241,0.02275,0.01046,0.0,0.0,0.32747,0.0,7.03239,6.44606
6,Alistipes_senegalensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00332,0.00376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04618,0.03729,0.0,0.0,0.0,0.0
7,Alistipes_shahii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01621,0.08689,0.05906,0.0,0.0,0.0,0.0,0.2205,0.25807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30577,0.28884
8,Alistipes_sp_AP11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3831,0.43108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Alloscardovia_omnicolens,0.28493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
